OBJ_critical=   0.552
 LOOP TRIALS COMPLXS  BESTF   WORSTF   PAR-RNG        LF0        r0       VP1       VP2        VM       KP1       KP2        KM      Qmax       Kba      Kdes        rE       pEP      fpEM        fD        gD        Vg     alpha        KD        Yg      Ygsl      wdie     gamma      beta     WPA2D       tau     wdorm
    0    26       2 0.342      2.78     0.913        0.3000    0.1000   75.0000   75.0000   75.0000  100.0000    6.0000  492.0000    2.5000    6.0000    0.0060    0.0100    0.0342    0.5000    0.1000    0.2000    0.0245    0.4570    0.4084    0.5123    0.0100    1.2000    1.0000    0.0010    0.4000    0.2500    4.0000
    1    62       2 0.339      1.11     0.819        0.3000    0.1000   75.0000   75.0000   75.0000  100.0000    6.0000  492.0000    2.5000    6.0000    0.0060    0.0100    0.0429    0.5000    0.1000    0.2000    0.0245    0.4570    0.4084    0.5437    0.0100    1.2000    1.0000    0.0010    0.4000    0.2500    4.0000
    2    96       2 0.335     0.799     0.561        0.3000    0.1000   75.0000   75.0000   75.0000  100.0000    6.0000  492.0000    2.5000    6.0000    0.0060    0.0100    0.0429    0.5000    0.1000    0.2000    0.0253    0.4570    0.4333    0.5437    0.0100    1.2000    1.0000    0.0010    0.4000    0.2500    4.0000
    3   133       2 0.318     0.390     0.330        0.3000    0.1000   75.0000   75.0000   75.0000  100.0000    6.0000  492.0000    2.5000    6.0000    0.0060    0.0100    0.0346    0.5000    0.1000    0.2000    0.0361    0.3665    0.4784    0.5385    0.0100    1.2000    1.0000    0.0010    0.4000    0.2500    4.0000
    4   169       2 0.318     0.344     0.286        0.3000    0.1000   75.0000   75.0000   75.0000  100.0000    6.0000  492.0000    2.5000    6.0000    0.0060    0.0100    0.0346    0.5000    0.1000    0.2000    0.0361    0.3665    0.4784    0.5385    0.0100    1.2000    1.0000    0.0010    0.4000    0.2500    4.0000

 LOOP TRIALS COMPLXS  BESTF   WORSTF   PAR-RNG        LF0        r0       VP1       VP2        VM       KP1       KP2        KM      Qmax       Kba      Kdes        rE       pEP      fpEM        fD        gD        Vg     alpha        KD        Yg      Ygsl      wdie     gamma      beta     WPA2D       tau     wdorm
    5   205       2 0.306     0.326     0.227        0.3000    0.1000   75.0000   75.0000   75.0000  100.0000    6.0000  492.0000    2.5000    6.0000    0.0060    0.0100    0.0174    0.5000    0.1000    0.2000    0.0480    0.3335    0.4780    0.5982    0.0100    1.2000    1.0000    0.0010    0.4000    0.2500    4.0000
    6   239       2 0.297     0.321     0.132        0.3000    0.1000   75.0000   75.0000   75.0000  100.0000    6.0000  492.0000    2.5000    6.0000    0.0060    0.0100    0.0275    0.5000    0.1000    0.2000    0.0479    0.3163    0.4818    0.5998    0.0100    1.2000    1.0000    0.0010    0.4000    0.2500    4.0000
    7   273       2 0.296     0.321     0.975E-01    0.3000    0.1000   75.0000   75.0000   75.0000  100.0000    6.0000  492.0000    2.5000    6.0000    0.0060    0.0100    0.0214    0.5000    0.1000    0.2000    0.0496    0.3245    0.4893    0.5986    0.0100    1.2000    1.0000    0.0010    0.4000    0.2500    4.0000
    8   313       2 0.295     0.300     0.469E-01    0.3000    0.1000   75.0000   75.0000   75.0000  100.0000    6.0000  492.0000    2.5000    6.0000    0.0060    0.0100    0.0214    0.5000    0.1000    0.2000    0.0497    0.3245    0.4843    0.5986    0.0100    1.2000    1.0000    0.0010    0.4000    0.2500    4.0000
    9   355       2 0.295     0.300     0.384E-01    0.3000    0.1000   75.0000   75.0000   75.0000  100.0000    6.0000  492.0000    2.5000    6.0000    0.0060    0.0100    0.0210    0.5000    0.1000    0.2000    0.0493    0.3320    0.4876    0.5964    0.0100    1.2000    1.0000    0.0010    0.4000    0.2500    4.0000

